ref,query,dim,k,problem size,simt time(ms),tc time(ms),speedup
2048,64,2,16,4194304,1.5885,1.57168,1.0107019240557875
2048,64,4,16,8388608,1.56455,1.05255,1.4864376989216663
2048,64,8,16,16777216,1.56254,1.57807,0.9901588649426197
2048,64,16,16,33554432,1.59689,1.62565,0.9823086150155321
2048,64,32,16,67108864,1.5706,1.58491,0.99097109615057
2048,64,64,16,134217728,1.70668,1.0719,1.5922007649967347
2048,64,128,16,268435456,1.73602,1.72902,1.0040485361649951
2048,64,256,16,536870912,1.76505,1.75731,1.004404459088038
2048,64,512,16,1073741824,1.88277,1.89452,0.9937979013153728
2048,64,1024,16,2147483648,2.81809,2.2924,1.2293186180422264
2048,64,2048,16,4294967296,3.54155,3.55648,0.9958020289724672
2048,128,2,16,8388608,1.67534,1.62095,1.0335543971128043
2048,128,4,16,16777216,1.68965,1.66614,1.014110458905014
2048,128,8,16,33554432,1.08068,1.6657,0.6487842948910368
2048,128,16,16,67108864,1.62135,1.04636,1.5495145074352996
2048,128,32,16,134217728,1.61324,1.62568,0.992347817528665
2048,128,64,16,268435456,1.56922,1.62219,0.9673466116792732
2048,128,128,16,536870912,1.71242,1.71103,1.0008123761710783
2048,128,256,16,1073741824,1.78266,1.80558,0.9873060180108331
2048,128,512,16,2147483648,2.43265,1.9169,1.269054202097136
2048,128,1024,16,4294967296,2.80988,2.26661,1.2396839332748024
2048,128,2048,16,8589934592,3.58555,3.5958,0.9971494521386062
2048,256,2,16,16777216,1.78404,1.71011,1.0432311371783103
2048,256,4,16,33554432,1.71247,1.71846,0.9965143209617913
2048,256,8,16,67108864,2.32026,1.72309,1.3465692447869817
2048,256,16,16,134217728,1.71781,1.6965,1.0125611553197762
2048,256,32,16,268435456,1.74199,1.70681,1.0206115502018385
2048,256,64,16,536870912,1.73261,1.70791,1.0144621203693402
2048,256,128,16,1073741824,2.28129,1.72391,1.3233231433195467
2048,256,256,16,2147483648,1.90275,1.84856,1.0293147098281905
2048,256,512,16,4294967296,2.07355,2.05904,1.0070469733468024
2048,256,1024,16,8589934592,2.40988,3.00118,0.8029774955184293
2048,256,2048,16,17179869184,3.77838,3.816,0.9901415094339623
2048,512,2,16,33554432,1.80833,1.81321,0.9973086404773854
2048,512,4,16,67108864,1.80267,1.82554,0.9874722000065734
2048,512,8,16,134217728,1.80143,1.81711,0.991370913153304
2048,512,16,16,268435456,1.71712,1.75606,0.9778253590424018
2048,512,32,16,536870912,1.74379,1.78449,0.9771923630841305
2048,512,64,16,1073741824,1.77119,1.78358,0.9930532973009342
2048,512,128,16,2147483648,2.30712,1.89418,1.218004624692479
2048,512,256,16,4294967296,2.10724,1.93776,1.087461811576253
2048,512,512,16,8589934592,2.15827,2.17496,0.992326295656012
2048,512,1024,16,17179869184,2.65658,3.16981,0.8380880872986077
2048,512,2048,16,34359738368,4.11001,4.08518,1.0060780675514909
2048,1024,2,16,67108864,1.83415,1.89956,0.965565709953884
2048,1024,4,16,134217728,1.82626,1.85199,0.9861068364300023
2048,1024,8,16,268435456,1.80538,1.82615,0.9886263450428497
2048,1024,16,16,536870912,2.37144,2.37244,0.9995784930282747
2048,1024,32,16,1073741824,2.43855,1.84796,1.3195902508712312
2048,1024,64,16,2147483648,1.84831,1.90364,0.9709346304973628
2048,1024,128,16,4294967296,1.90226,1.89372,1.0045096423969753
2048,1024,256,16,8589934592,2.12036,2.13191,0.9945823228935554
2048,1024,512,16,17179869184,2.87245,2.96188,0.9698063392169839
2048,1024,1024,16,34359738368,3.43346,3.45269,0.9944304296070601
2048,1024,2048,16,68719476736,5.15002,5.2038,0.9896652446289249
4096,16,2,16,2097152,2.42656,1.80823,1.3419531807347516
4096,16,4,16,4194304,1.79549,1.80646,0.9939273496230197
4096,16,8,16,8388608,1.82608,1.82648,0.9997809995181989
4096,16,16,16,16777216,1.79765,2.34997,0.7649672123473917
4096,16,32,16,33554432,1.85792,1.79181,1.0368956529989228
4096,16,64,16,67108864,1.88713,1.89918,0.9936551564359355
4096,16,128,16,134217728,1.94781,2.53294,0.7689917645108056
4096,16,256,16,268435456,2.65902,2.09554,1.2688948910543343
4096,16,512,16,536870912,2.98128,2.96649,1.004985690159077
4096,16,1024,16,1073741824,3.55494,3.57162,0.995329850320023
4096,16,2048,16,2147483648,5.87223,5.97668,0.9825237422783217
4096,32,2,16,4194304,2.07656,2.03884,1.018500716093465
4096,32,4,16,8388608,2.03905,2.1244,0.9598239502918471
4096,32,8,16,16777216,2.60941,2.61866,0.9964676590317184
4096,32,16,16,33554432,2.04145,2.67672,0.7626684897934787
4096,32,32,16,67108864,2.06688,2.06085,1.0029259771453527
4096,32,64,16,134217728,2.10145,2.06911,1.015629908511389
4096,32,128,16,268435456,2.1945,2.22792,0.984999461381019
4096,32,256,16,536870912,2.93101,2.8464,1.0297252670039347
4096,32,512,16,1073741824,3.14374,3.24259,0.9695151098350394
4096,32,1024,16,2147483648,3.81195,3.78687,1.0066228838064153
4096,32,2048,16,4294967296,6.58711,6.08659,1.0822332373299335
4096,64,2,16,8388608,2.19093,2.07745,1.054624660039953
4096,64,4,16,16777216,2.0531,2.09562,0.9797100619387105
4096,64,8,16,33554432,2.11432,2.15882,0.9793868872810148
4096,64,16,16,67108864,2.11058,2.06945,1.019874845973568
4096,64,32,16,134217728,2.06756,2.07452,0.9966450070377725
4096,64,64,16,268435456,2.11272,2.15922,0.9784644454942062
4096,64,128,16,536870912,2.1919,2.71625,0.8069581224114127
4096,64,256,16,1073741824,2.33775,2.35634,0.9921106461716053
4096,64,512,16,2147483648,3.17881,3.23716,0.9819749409976647
4096,64,1024,16,4294967296,3.87783,4.42129,0.8770811233825422
4096,64,2048,16,8589934592,6.72658,6.12365,1.0984592522433516
4096,128,2,16,16777216,2.06874,2.08994,0.989856168119659
4096,128,4,16,33554432,2.06746,2.07651,0.9956417257802757
4096,128,8,16,67108864,2.13835,2.16029,0.9898439561355189
4096,128,16,16,134217728,2.06931,2.0894,0.9903847994639611
4096,128,32,16,268435456,2.07249,2.09508,0.9892175955094795
4096,128,64,16,536870912,2.14808,2.14829,0.9999022478343242
4096,128,128,16,1073741824,2.16854,2.16901,0.9997833112802615
4096,128,256,16,2147483648,2.34657,2.89866,0.8095361304878805
4096,128,512,16,4294967296,3.27376,3.23904,1.0107192254495159
4096,128,1024,16,8589934592,3.85995,3.88002,0.9948273462507925
4096,128,2048,16,17179869184,6.74533,6.76896,0.9965090649080509
4096,256,2,16,33554432,2.19279,2.21925,0.9880770530584656
4096,256,4,16,67108864,2.20621,2.79567,0.7891525108471314
4096,256,8,16,134217728,2.18888,2.22939,0.9818291102050337
4096,256,16,16,268435456,2.17394,2.19717,0.9894273087653664
4096,256,32,16,536870912,2.20446,2.14774,1.0264091556706119
4096,256,64,16,1073741824,2.20316,2.78621,0.7907372380402051
4096,256,128,16,2147483648,2.32766,2.292,1.0155584642233857
4096,256,256,16,4294967296,2.99294,2.46388,1.214726366543825
4096,256,512,16,8589934592,3.34799,3.33094,1.0051186752088
4096,256,1024,16,17179869184,4.58657,4.04546,1.133757347742902
4096,256,2048,16,34359738368,7.06484,7.04533,1.0027692102428134
4096,512,2,16,67108864,2.86691,2.33635,1.2270892631669057
4096,512,4,16,134217728,2.31468,2.23017,1.0378939722083966
4096,512,8,16,268435456,2.85203,2.29591,1.2422220383203173
4096,512,16,16,536870912,2.3154,2.32119,0.9975055898052292
4096,512,32,16,1073741824,2.27332,2.28825,0.9934753632688735
4096,512,64,16,2147483648,2.36405,2.84984,0.8295377986132556
4096,512,128,16,4294967296,2.45004,2.41102,1.016184021700359
4096,512,256,16,8589934592,3.07508,2.64485,1.1626670699661605
4096,512,512,16,17179869184,3.52856,3.47833,1.014440837988345
4096,512,1024,16,34359738368,4.29712,4.2695,1.0064691415856657
4096,512,2048,16,68719476736,7.9132,7.4438,1.0630591901985544
4096,1024,2,16,134217728,2.47092,3.04107,0.8125166471011848
4096,1024,4,16,268435456,2.42603,2.94739,0.8231112950780182
4096,1024,8,16,536870912,3.00153,2.93093,1.0240879174869408
4096,1024,16,16,1073741824,2.46517,2.45994,1.0021260681154824
4096,1024,32,16,2147483648,2.91743,3.06011,0.9533742251095549
4096,1024,64,16,4294967296,3.02585,2.4704,1.2248421308290156
4096,1024,128,16,8589934592,3.07114,3.18735,0.9635402450311388
4096,1024,256,16,17179869184,3.45108,3.37464,1.0226513050280919
4096,1024,512,16,34359738368,4.36164,3.83854,1.1362757715172958
4096,1024,1024,16,68719476736,5.19077,5.23006,0.992487657885378
4096,1024,2048,16,137438953472,8.75282,8.73518,1.0020194203210466
4096,2048,2,16,268435456,3.33487,3.35538,0.9938874285475863
4096,2048,4,16,536870912,3.38109,2.8271,1.1959569877259382
4096,2048,8,16,1073741824,3.2651,3.35602,0.9729083855280958
4096,2048,16,16,2147483648,2.82725,3.40606,0.8300646494776955
4096,2048,32,16,4294967296,3.314,3.31097,1.00091513967206
4096,2048,64,16,8589934592,3.43186,3.45857,0.9922771550091511
4096,2048,128,16,17179869184,3.55302,3.61137,0.9838426968158899
4096,2048,256,16,34359738368,3.87971,3.88091,0.9996907941694088
4096,2048,512,16,68719476736,4.3429,4.93617,0.8798116758539516
4096,2048,1024,16,137438953472,6.71187,6.76585,0.9920216971999083
4096,2048,2048,16,274877906944,10.7384,11.5297,0.9313685525208809
8192,16,2,16,4194304,2.45105,3.01565,0.81277668164409
8192,16,4,16,8388608,3.07058,2.46726,1.2445303697218777
8192,16,8,16,16777216,3.05199,2.50046,1.2205714148596658
8192,16,16,16,33554432,3.05181,2.49268,1.2243087760964104
8192,16,32,16,67108864,2.48982,2.99668,0.8308594844961757
8192,16,64,16,134217728,2.68198,3.21573,0.8340190252291081
8192,16,128,16,268435456,2.72064,3.28414,0.8284177897409977
8192,16,256,16,536870912,3.64448,3.65469,0.9972063294013993
8192,16,512,16,1073741824,4.17393,4.22477,0.9879662088113672
8192,16,1024,16,2147483648,6.88428,6.98352,0.985789401333425
8192,16,2048,16,4294967296,12.1513,12.0832,1.0056359242584747
8192,32,2,16,8388608,2.75199,3.35282,0.8207986113182337
8192,32,4,16,16777216,3.24256,2.76501,1.1727118527600262
8192,32,8,16,33554432,3.36619,3.28202,1.0256457913114483
8192,32,16,16,67108864,2.81299,3.36223,0.8366441320195228
